,algorithm,policy,workload_type,avg_cpu_actual,avg_cpu_predicted,avg_solar_pv,energy_consumed_wh,green_energy_wh,grid_energy_wh,geuf_percentage,data_type
0,TempoSight,GREEN_OBLIVIOUS,MEDIUM,30.194693562304987,30.58298,0.08734425463229643,260.38938712461,57.93428702715312,202.45510009745686,22.33195844817835,machine_averaged
1,TempoSight,NAIVE_CARBON_AWARE,MEDIUM,32.06767242333103,32.03026,0.16845270973348128,264.13534484666206,73.60064803857406,190.534696808088,28.11725824916955,machine_averaged
2,TempoSight,PREDICTIVE_CARBON_AWARE,MEDIUM,31.954001142989224,32.338287,0.1754562889361194,263.9080022859784,74.52448399015624,189.38351829582217,28.570955628643443,machine_averaged
