,algorithm,policy,machine_id,workload_type,avg_cpu_actual,avg_cpu_predicted,avg_solar_pv,energy_consumed_wh,green_energy_wh,grid_energy_wh,geuf_percentage
0,TempoSight,PREDICTIVE_CARBON_AWARE,"(25,)",LARGE,40.68944451014056,40.28,0.01734466461055711,483.10250029563247,121.22985858287188,361.8726417127606,25.094024251310188
1,TempoSight,NAIVE_CARBON_AWARE,"(25,)",LARGE,40.01000008053055,39.62,0.018793488905027,480.0450003623875,133.1406919257402,346.9043084366473,27.735043969884465
2,TempoSight,GREEN_OBLIVIOUS,"(25,)",LARGE,40.68944451014056,40.28,0.01734466461055711,483.10250029563247,121.22985858287188,361.8726417127606,25.094024251310188
3,TempoSight,PREDICTIVE_CARBON_AWARE,"(53,)",LARGE,40.13333339691111,40.38,9.886202077955387e-07,480.6000002861,12.803333266575834,467.7966670195242,2.664031056794432
4,TempoSight,NAIVE_CARBON_AWARE,"(53,)",LARGE,40.13333339691111,40.38,9.886202077955387e-07,480.6000002861,12.803333266575834,467.7966670195242,2.664031056794432
5,TempoSight,GREEN_OBLIVIOUS,"(53,)",LARGE,40.13333339691111,40.38,9.886202077955387e-07,480.6000002861,12.803333266575834,467.7966670195242,2.664031056794432
6,TempoSight,NAIVE_CARBON_AWARE,"(81,)",LARGE,40.01111114289611,39.28,0.0,480.0500001430325,0.0,480.0500001430325,0.0
7,TempoSight,PREDICTIVE_CARBON_AWARE,"(166,)",LARGE,40.588333521949444,40.03,2.9658606233866157e-06,482.6475008487725,22.772500038144997,459.87500081062745,4.718246753188987
8,TempoSight,NAIVE_CARBON_AWARE,"(166,)",LARGE,40.588333521949444,40.03,2.9658606233866157e-06,482.6475008487725,22.772500038144997,459.87500081062745,4.718246753188987
9,TempoSight,GREEN_OBLIVIOUS,"(166,)",LARGE,40.588333521949444,40.03,2.9658606233866157e-06,482.6475008487725,22.772500038144997,459.87500081062745,4.718246753188987
10,TempoSight,NAIVE_CARBON_AWARE,"(209,)",LARGE,40.17115746339027,39.16,0.0,480.7702085852563,0.0,480.7702085852563,0.0
11,TempoSight,NAIVE_CARBON_AWARE,"(213,)",LARGE,40.12388885285611,39.28,9.886202077955387e-07,480.55749983785245,12.750833257038332,467.8066665808141,2.653341850109646
